1032	1753
1033	1422
1034	1091
1035	2747
1036	2416
1037	2086
1038	1755
1039	1424
1040	1093
1041	2749
1042	2419
1043	2088
1044	1757
1045	1426
1046	1096
1047	2752
1048	2421
1049	2090
1050	1760
1051	1429
1052	1098
1053	2423
1054	2092
1055	1761
1056	1431
1057	1100
1058	2756
1059	2425
1060	2094
1061	1764
1062	1433
1063	1102
1064	2758
1065	2428
1066	2097
1067	1766
1068	1435
1069	1105
1070	2761
1071	2430
1072	2099
1073	1768
1074	1438
1075	1107
1076	2763
1077	2432
1078	2101
1079	1771
1080	1440
1081	1109
1082	2765
1083	2434
1084	2104
1085	1773
1086	1111
1087	780
1088	2767
1089	2437
1090	2106
1091	1775
1092	1444
1093	1114
1094	783
1095	2770
1096	2439
1097	2109
1098	1778
1099	1447
1100	1116
1101	2772
1102	2442
1103	2111
1104	1780
1105	1449
1106	1119
1107	2775
1108	2444
1109	2113
1110	1783
1111	1452
1112	1121
1113	2777
1114	2446
1115	2116
1116	1785
1117	1454
1118	1123
1119	2779
1120	2449
1121	2118
1122	1787
1123	1456
1124	1126
1125	2782
1126	2451
1127	2120
1128	1789
1129	1459
1130	1128
1131	2784
1132	2453
1133	2122
1134	1792
1135	1461
1136	1130
1137	2786
1138	2456
1139	2125
1140	1794
1141	1463
1142	1133
1143	2789
1144	2458
1145	2127
1146	1796
1147	1466
1148	1135
1149	804
1150	2791
1151	2461
1152	2130
1153	1799
1154	1468
1155	1138
1156	2794
1157	2463
1158	2132
1159	1801
1160	1471
1161	1140
1162	809
1163	2796
1164	2466
1165	2135
1166	1804
1167	1473
1168	1143
1169	2799
1170	2468
1171	2137
1172	1806
1173	1144
1174	814
1175	2801
1176	2470
1177	2139
1178	1809
1179	1478
1180	1147
1181	2803
1182	2472
1183	2142
1184	1811
1185	1480
1186	2143
1187	1812
1188	1481
1189	1151
1190	820
1191	2807
1192	2476
1193	2145
1194	1815
1195	1484
1196	1153
1197	823
1198	2810
1199	2479
1200	2148
1201	1817
1202	1487
1203	1156
1204	825
1205	2812
1206	2482
1207	2151
1208	1820
1209	1489
1210	1159
1211	2815
1212	2484
1213	2153
1214	1822
1215	1492
1216	1161
1217	830
1218	2817
1219	2487
1220	2156
1221	1825
1222	1494
1223	1164
1224	833
1225	2820
1226	2489
1227	2159
1228	1828
1229	1497
1230	1166
1231	2822
1232	2492
1233	2161
1234	1830
1235	1499
1236	1169
1237	838
1238	2825
1239	2494
1240	2164
1241	1833
1242	1502
1243	1171
1244	841
1245	2828
1246	2497
1247	2166
1248	1835
1249	1505
1250	1174
1251	2830
1252	2499
1253	2169
1254	1838
1255	1507
1256	1176
1257	2832
1258	2502
1259	2171
1260	1840
1261	1509
1262	1179
1263	2835
1264	2504
1265	2173
1266	1842
1267	1512
1268	1181
1269	850
1270	2837
1271	2507
1272	2176
1273	1845
1274	1514
1275	1184
1276	853
1277	2840
1278	2509
1279	2178
1280	1848
1281	1517
1282	1186
1283	2842
1284	2512
1285	2181
1286	1850
1287	1519
1288	1189
1289	858
1290	2845
1291	2514
1292	2183
1293	1853
1294	1853
1295	1522
1296	1192
1297	861
1298	2848
1299	2517
1300	2187
1301	1856
1302	1525
1303	1194
1304	2850
1305	2520
1306	2189
1307	1858
1308	1527
1309	1197
1310	866
1311	2853
1312	2522
1313	2192
1314	1861
1315	1530
1316	1199
1317	2855
1318	2525
1319	2194
1320	1863
1321	1532
1322	1202
1323	2858
1324	2527
1325	2196
1326	1865
1327	1535
1328	1204
1329	2860
1330	2529
1331	2198
1332	1868
1333	1537
1334	1206
1335	875
1336	2863
1337	2532
1338	2201
1339	1870
1340	1540
1341	1209
1342	2865
1343	2534
1344	2203
1345	1873
1346	1542
1347	1211
1348	880
1349	2205
1350	1875
1351	1544
1352	1213
1353	882
1354	2870
1355	2539
1356	2208
1357	1877
1358	1547
1359	1216
1360	885
1361	2872
1362	2541
1363	2211
1364	1880
1365	1549
1366	1218
1367	888
1368	2875
1369	2544
1370	2213
1371	1883
1372	1552
1373	1221
1374	890
1375	2878
1376	2547
1377	2216
1378	1885
1379	1555
1380	1224
1381	893
1382	2880
1383	2550
1384	2219
1385	1888
1386	1557
1387	1227
1388	2883
1389	2552
1390	2221
1391	1890
1392	1560
1393	1229
1394	898
1395	2885
1396	2554
1397	2224
1398	1893
1399	1562
1400	1231
1401	901
1402	2557
1403	2226
1404	1895
1405	1565
1406	1234
1407	2890
1408	2559
1409	2228
1410	1898
1411	1567
1412	1236
1413	905
1414	2893
1415	2562
1416	2231
1417	1900
1418	1570
1419	1239
1420	908
1421	2895
1422	2564
1423	2234
1424	1903
1425	1572
1426	1241
1427	911
1428	2898
1429	2567
1430	2236
1431	1906
1432	1575
1433	1244
1434	913
1435	2901
1436	2570
1437	2239
1438	1908
1439	1578
1440	1247
1441	916
1442	2903
1443	2573
1444	2242
1445	1911
1446	1580
1447	1250
1448	919
1449	2906
1450	2575
1451	2244
1452	1914
1453	1583
1454	1252
1455	921
1456	2909
1457	2578
1458	2247
1459	1916
1460	1586
1461	1255
1462	924
1463	2911
1464	2581
1465	2250
1466	1919
1467	1588
1468	1258
1469	927
1470	2914
1471	2583
1472	2253
1473	1922
1474	1591
1475	1260
1476	930
1477	2917
1478	2586
1479	2255
1480	1924
1481	1594
1482	1263
1483	932
1484	2919
1485	2589
1486	2258
1487	1927
1488	1596
1489	1266
1490	935
1491	2922
1492	2591
1493	2261
1494	1930
1495	1599
1496	937
1497	2924
1498	2594
1499	2263
1500	1932
1501	1601
1502	1271
1503	940
1504	2927
1505	2596
1506	2266
1507	1935
1508	1604
1509	1273
1510	943
1511	2930
1512	2599
1513	2268
1514	1937
1515	1607
1516	1276
1517	2932
1518	2601
1519	2271
1520	1940
1521	1609
1522	1278
1523	2603
1524	2272
1525	1942
1526	1611
1527	1280
1528	949
1529	2937
1530	2606
1531	2275
1532	1944
1533	1614
1534	1283
1535	952
1536	2939
1537	2609
1538	2278
1539	1947
1540	1616
1541	1286
1542	955
1543	2942
1544	2611
1545	2281
1546	1950
1547	1619
1548	1288
1549	958
1550	2945
1551	2614
1552	2283
1553	1952
1554	1622
1555	1291
1556	960
1557	2947
1558	2617
1559	2286
1560	1955
1561	1624
1562	1294
1563	963
1564	2950
1565	2619
1566	2289
1567	1958
1568	1627
1569	1296
1570	966
1571	2953
1572	2622
1573	2291
1574	1960
1575	1630
1576	1299
1577	968
1578	2955
1579	2625
